999	2	4	0
# type	x	y	ani_set_id	extra_settings per object type
# type: 0 = Mario , 1 = PLATFORM, 2 = Goomba, 3 = Koopas
#############MARIO#############
# MARIO
0	30	300	1
##############PLATFORM#############
7	0	400	2	1024	16
#####################  COIN #################
10	192	336	10	1	0
10	224	336	10	1	0
10	256	336	10	1	0
10	288	336	10	1	0
10	352	336	10	1	1
10	384	336	10	1	1
10	416	336	10	1	1
10	480	336	10	1	1
10	512	336	10	1	1
10	544	336	10	1	1
10	576	336	10	1	1
10	640	336	10	1	2
10	672	336	10	1	2
10	704	336	10	1	2
10	752	336	10	1	2
10	784	336	10	1	2
10	816	336	10	1	2
10	848	336	10	1	2
#
10	208	320	10	1	0
10	240	320	10	1	0
10	272	320	10	1	0
10	336	320	10	1	1
10	368	320	10	1	1
10	400	320	10	1	1
10	432	320	10	1	1
10	496	320	10	1	1
10	528	320	10	1	1
10	560	320	10	1	1
10	624	320	10	1	2
10	652	320	10	1	2
10	684	320	10	1	2
10	716	320	10	1	2
10	768	320	10	1	2
10	800	320	10	1	2
10	832	320	10	1	2
#
10	624	144	10	0	2
10	640	144	10	0	2
10	656	144	10	0	2
10	608	160	10	0	2
10	624	160	10	0	2
10	656	160	10	0	2
10	672	160	10	0	2
10	592	176	10	0	1
10	608	176	10	0	2
10	672	176	10	0	2
10	688	176	10	0	2
#
10	592	192	10	0	1
10	688	192	10	0	2
#
10	688	208	10	0	2
10	672	208	10	0	2
10	608	208	10	0	2
10	592	208	10	0	1
10	672	224	10	0	2
10	656	224	10	0	2
10	624	224	10	0	2
10	608	224	10	0	2
10	656	240	10	1	2
10	640	240	10	1	2
10	624	240	10	1	2
############## PIPE #########
1	850	368	7	2	1	2
##########MUSHROOM
11	640	192	12	2	0	2
#PORTAL
52	850	367	2	882	370	3	1	2
