# type	x	y	ani_set_id	extra_settings per object type
# type: 0 = Mario , 1 = PLATFORM, 2 = Goomba, 3 = Koopas
#############MARIO#############
# MARIO
0	30	300	1
##############PLATFORM#############
7	0	400	2	1024	16
#####################  COIN #################
10	192	336	10
10	224	336	10
10	256	336	10
10	288	336	10
10	352	336	10
10	384	336	10
10	416	336	10
10	480	336	10
10	512	336	10
10	544	336	10
10	576	336	10
10	640	336	10
10	672	336	10
10	704	336	10
10	752	336	10
10	784	336	10
10	816	336	10
10	848	336	10
#
10	208	320	10
10	240	320	10
10	272	320	10
10	336	320	10
10	368	320	10
10	400	320	10
10	432	320	10
10	496	320	10
10	528	320	10
10	560	320	10
10	624	320	10
10	652	320	10
10	684	320	10
10	716	320	10
10	768	320	10
10	800	320	10
10	832	320	10
#
10	624	144	10
10	640	144	10
10	656	144	10
10	608	160	10
10	624	160	10
10	656	160	10
10	672	160	10
10	592	176	10
10	608	176	10
10	672	176	10
10	688	176	10
#
10	592	192	10
10	688	192	10
#
10	688	208	10
10	672	208	10
10	608	208	10
10	592	208	10
10	672	224	10
10	656	224	10
10	624	224	10
10	608	224	10
10	656	240	10
10	640	240	10
10	624	240	10
############## PIPE #########
1	850	368	7	2
##########MUSHROOM
11	640	192	12	2
#PORTAL
52	850	367	2	882	370	3
